   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 463,         52799,           52343,          36797,      6693,        1281,       2417,        106491,             457,          23519,     6764,       3684,      2685
 464,         53153,           52696,          37412,      6582,        1323,       2349,        106953,             460,          21793,     6789,       3706,      2625
 465,         53192,           52734,          36645,      6837,        1310,       2423,        107416,             461,          21658,     6807,       3714,      2855
 466,         53218,           52759,          36368,      6595,        1334,       2377,        107880,             461,          21840,     6813,       3718,      2717
 467,         53227,           52767,          36938,      6583,        1335,       2512,        108345,             460,          22283,     6839,       3718,      2637
 468,         53438,           52977,          36969,      6392,        1330,       2390,        108811,             462,          22269,     6851,       3727,      2718
 469,         53485,           53023,          36760,      6770,        1314,       2855,        109278,             463,          22910,     6866,       3735,      3365
 470,         53747,           53284,          38254,      6738,        1294,       2579,        109746,             461,          22477,     6877,       3743,      2760
 471,         54169,           53705,          38069,      6804,        1286,       2594,        110215,             465,          22412,     6909,       3759,      3120
 472,         54200,           53735,          37394,      6565,        1312,       2697,        110685,             462,          22047,     6923,       3769,      2785
 473,         54556,           54090,          38276,      6670,        1319,       2576,        111156,             464,          22514,     6949,       3773,      2683
 474,         54867,           54400,          38695,      6778,        1327,       2568,        111628,             461,          22348,     6950,       3776,      2858
 475,         55113,           54645,          38321,      6920,        1347,       2541,        112101,             470,          22649,     6965,       3800,      2798
 476,         55459,           54990,          38122,      6649,        1322,       2495,        112575,             468,          23053,     7000,       3790,      2828
 477,         55930,           55460,          44663,      7213,        1303,       2569,        113050,             471,          27182,     7026,       3812,      2980
 478,         55935,           55464,          38819,      7102,        1324,       2481,        113526,             469,          23333,     7038,       3830,      3048
 479,         56222,           55750,          39441,      6769,        1354,       2414,        114003,             469,          24330,     7017,       3807,      2858
 480,         56383,           55910,          38973,      6717,        1352,       2587,        114481,             474,          23028,     7069,       3836,      2809
 481,         56832,           56358,          39695,      6943,        1356,       2530,        114960,             476,          22846,     7080,       3850,      2913
 482,         57118,           56643,          40563,      6559,        1375,       2448,        115440,             475,          23719,     7082,       3860,      2915
 483,         57196,           56720,          39291,      7191,        1314,       2590,        115921,             475,          24024,     7121,       3883,      3170
 484,         57220,           56743,          39886,      7154,        1331,       2622,        116403,             478,          23316,     7140,       3892,      2882
 485,         57395,           56917,          39620,      7496,        1339,       2672,        116886,             475,          24264,     7134,       3873,      2848
 486,         57517,           57038,          39821,      6776,        1376,       2762,        117370,             475,          23126,     7153,       3884,      2927
 487,         57601,           57121,          39937,      6796,        1363,       2445,        117855,             479,          24479,     7170,       3902,      2952
 488,         57607,           57126,          39845,      7002,        1359,       2488,        118341,             483,          24568,     7199,       3921,      2923
 489,         57824,           57342,          40191,      7143,        1367,       2607,        118828,             484,          24084,     7199,       3923,      3699
 490,         57908,           57425,          44086,      7212,        1389,       2484,        119316,             483,          23780,     7216,       3932,      2899
 491,         58281,           57797,          40565,      6928,        1399,       3020,        119805,             485,          24727,     7255,       3957,      2944
 492,         58762,           58277,          44413,      7361,        1367,       3093,        120295,             484,          46375,     7264,       3963,      4258
 493,         59007,           58521,          41181,      7230,        1377,       2567,        120786,             486,          24663,     7306,       3986,      2876
 494,         59048,           58561,          40435,      6906,        1421,       2570,        121278,             479,          24648,     7328,       3992,      2921
 495,         59234,           58746,          41276,      6825,        1418,       2470,        121771,             485,          24879,     7335,       3996,      3272
 496,         59578,           59089,          40993,      7169,        1411,       2909,        122265,             485,          25676,     7331,       3998,      3049
 497,         59838,           59348,          41422,      6974,        1420,       2535,        122760,             490,          28953,     7374,       4012,      3656
 498,         60039,           59548,          40953,      6952,        1413,       2510,        123256,             490,          25019,     7374,       4024,      3017
 499,         60278,           59786,          41308,      7073,        1399,       2932,        123753,             488,          25341,     7374,       4020,      2965
 500,         60441,           59948,          41424,      7289,        1398,       2565,        124251,             488,          25385,     7419,       4040,      3044
 501,         60642,           60148,          42003,      6805,        1427,       2543,        124750,             494,          25048,     7434,       4053,      3061
 502,         61134,           60639,          45349,      7578,        1417,       2924,        125250,             496,          29024,     7468,       4068,      3025
 503,         61179,           60683,          44662,      7448,        1415,       2813,        125751,             496,          27265,     7476,       4072,      3186
 504,         61482,           60985,          42504,      6984,        1416,       3426,        126253,             498,          26210,     7494,       4081,      3093
 505,         61583,           61085,          43361,      7062,        1444,       2602,        126756,             500,          25881,     7517,       4101,      3112
 506,         61942,           61443,          47399,      7217,        1408,       2808,        127260,             500,          29883,     7539,       4104,      3234
 507,         62295,           61795,          43721,      7272,        1437,       3167,        127765,             501,          25594,     7540,       4110,      3102
 508,         62685,           62184,          43420,      7415,        1438,       2654,        128271,             501,          25647,     7546,       4107,      3580
 509,         63023,           62521,          49383,      7526,        1419,       2865,        128778,             500,          26533,     7576,       4118,      3166
 510,         63265,           62762,          45995,      7674,        1424,       2887,        129286,             503,          27508,     7609,       4131,      3459
 511,         63291,           62787,          43601,      7692,        1438,       3020,        129795,             504,          26068,     7612,       4145,      3598
 512,         63644,           63139,          45130,      7528,        1452,       2804,        130305,             505,          26223,     7617,       4141,      3164
 513,         64116,           63610,          46612,      7778,        1429,       2776,        130816,             504,          27135,     7663,       4188,      3090
 514,         64133,           63626,          45159,      7976,        1451,       2762,        131328,             506,          26927,     7671,       4174,      3061
 515,         64411,           63903,          44883,      7645,        1470,       2849,        131841,             508,          27102,     7688,       4187,      3432
 516,         64865,           64356,          45786,      7685,        1462,       2764,        132355,             504,          27157,     7713,       4200,      3940
 517,         65286,           64776,          48271,      7480,        1463,       2673,        132870,             505,          27358,     7729,       4203,      3059
 518,         65525,           65014,          49902,      7442,        1474,       2777,        133386,             509,          28140,     7747,       4219,      3164
 519,         65633,           65121,          50168,      7545,        1480,       3412,        133903,             511,          30833,     7769,       4210,      3449
 520,         66017,           65504,          46814,      7562,        1471,       2870,        134421,             512,          27904,     7767,       4221,      3160
 521,         66514,           66000,          45876,      7946,        1472,       2876,        134940,             517,          28069,     7795,       4236,      3074
 522,         66648,           66133,          45802,      7746,        1479,       2860,        135460,             515,          28704,     7803,       4234,      3168
 523,         67065,           66549,          47670,      7650,        1473,       2708,        135981,             517,          28372,     7837,       4268,      3360
 524,         67150,           66633,          47069,      7770,        1470,       3046,        136503,             517,          27715,     7872,       4277,      3140
 525,         67218,           66700,          47635,      7651,        1470,       2832,        137026,             517,          29071,     7870,       4283,      3151
 526,         67512,           66993,          47483,      7459,        1484,       3277,        137550,             520,          28914,     7890,       4300,      3153
 527,         67993,           67473,          48341,      7829,        1485,       2767,        138075,             519,          28924,     7907,       4317,      3204
 528,         68223,           67702,          47859,      7310,        1542,       2717,        138601,             519,          28870,     7897,       4301,      3145
 529,         68454,           67932,          48736,      7251,        1541,       2614,        139128,             519,          28453,     7943,       4305,      3156
 530,         68637,           68114,          48484,      7853,        1510,       2789,        139656,             523,          29327,     7975,       4340,      3256
 531,         69139,           68615,          47862,      7828,        1525,       2899,        140185,             523,          28708,     7986,       4344,      3107
 532,         69502,           68977,          52836,      7808,        1510,       4012,        140715,             525,          32400,     7999,       4345,      3340
 533,         69919,           69393,          49301,      7604,        1532,       2767,        141246,             526,          29386,     8008,       4364,      3187
 534,         70080,           69553,          49256,      7840,        1518,       2823,        141778,             526,          29590,     8037,       4386,      3216
 535,         70591,           70063,          50215,      7910,        1516,       2798,        142311,             527,          29956,     8050,       4387,      3142
 536,         70701,           70172,          48674,      7870,        1528,       2814,        142845,             532,          29440,     8061,       4387,      3329
 537,         70708,           70178,          49466,      7943,        1530,       2892,        143380,             530,          30011,     8081,       4405,      3372
 538,         70864,           70333,          49236,      7577,        1542,       2853,        143916,             532,          29429,     8122,       4429,      3402
 539,         71311,           70779,          49750,      7901,        1544,       2808,        144453,             530,          30791,     8128,       4423,      3251
 540,         71551,           71018,          50772,      7951,        1582,       2927,        144991,             530,          30349,     8146,       4432,      5784
 541,         71690,           71156,          50269,      7765,        1576,       3141,        145530,             535,          29936,     8184,       4459,      3358
 542,         72072,           71537,          50725,      8231,        1533,       2914,        146070,             537,          30528,     8170,       4466,      3373
 543,         72551,           72015,          50486,      8101,        1551,       2933,        146611,             538,          29574,     8208,       4462,      3536
 544,         72660,           72123,          56999,      7959,        1552,       3329,        147153,             533,          32216,     8223,       4480,      3308
 545,         73016,           72478,          50552,      7872,        1554,       3217,        147696,             539,          29903,     8232,       4482,      3351
 546,         73377,           72838,          52097,      7841,        1575,       2749,        148240,             537,          31043,     8246,       4487,      3552
 547,         73392,           72852,          51205,      7818,        1572,       2810,        148785,             541,          30393,     8259,       4491,      3394
 548,         73399,           72858,          52661,      8170,        1571,       2890,        149331,             541,          30834,     8298,       4514,      3397
 549,         73823,           73281,          51490,      7962,        1571,       3027,        149878,             541,          30847,     8315,       4518,      3515
 550,         74018,           73475,          50648,      8017,        1564,       2843,        150426,             541,          30844,     8329,       4526,      3432
 551,         74291,           73747,          53075,      8167,        1553,       4994,        150975,             541,          30862,     8352,       4560,      3430
 552,         74371,           73826,          52561,      7660,        1613,       2770,        151525,             544,          30870,     8366,       4552,      3644
 553,         74564,           74018,          51641,      7692,        1616,       2788,        152076,             544,          31532,     8390,       4566,      3362
 554,         74914,           74367,          52037,      7998,        1582,       3078,        152628,             545,          30810,     8388,       4568,      3676
 555,         75396,           74848,          52674,      8298,        1554,       3014,        153181,             549,          31590,     8420,       4566,      3637
 556,         75576,           75027,          60023,      8072,        1584,       3143,        153735,             547,          33346,     8448,       4594,      3573
 557,         76119,           75569,          53682,      8576,        1576,       3022,        154290,             548,          31634,     8469,       4595,      3398
 558,         76129,           75578,          53677,      8066,        1636,       2891,        154846,             547,          32177,     8474,       4603,      3774
 559,         76681,           76129,          53765,      8314,        1623,       2976,        155403,             548,          31806,     8481,       4622,      3476
 560,         76863,           76310,          54196,      8085,        1621,       3132,        155961,             556,          32567,     8498,       4620,      3458
