    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   77,          1806,            1736,           1602,       722,         184,        403,          2850,              73,            752,      711,        401,       290
   78,          1810,            1739,           1213,       732,         177,        291,          2926,              72,            579,      725,        411,       295
   79,          1837,            1765,           1281,       772,         176,        300,          3003,              73,            604,      739,        416,       308
   80,          1879,            1806,           1476,       760,         182,        293,          3081,              75,            662,      752,        429,       313
   81,          1907,            1833,           1309,       831,         180,        328,          3160,              76,            685,      767,        435,       324
   82,          1933,            1858,           1404,       772,         185,        311,          3240,              73,            655,      771,        437,       330
   83,          1936,            1860,           1289,       856,         184,        328,          3321,              74,            657,      786,        444,       319
   84,          1980,            1903,           1347,       860,         194,        334,          3403,              76,            664,      798,        453,       326
   85,          2050,            1972,           1336,       788,         195,        301,          3486,              79,            683,      812,        456,       327
   86,          2053,            1974,           1572,       857,         198,        336,          3570,              78,            698,      825,        465,       338
   87,          2089,            2009,           1369,       824,         204,        391,          3655,              80,            709,      844,        475,       341
   88,          2129,            2048,           1389,       871,         204,        328,          3741,              83,            727,      855,        475,       356
   89,          2191,            2109,           1456,       897,         212,        383,          3828,              82,            745,      872,        486,       350
   90,          2270,            2187,           1508,       899,         206,        340,          3916,              87,            768,      881,        496,       354
   91,          2323,            2239,           1550,       900,         216,        353,          4005,              87,            895,      891,        502,       369
   92,          2333,            2248,           1506,       932,         213,        351,          4095,              87,            790,      896,        504,       359
   93,          2400,            2314,           1567,       921,         220,        347,          4186,              88,            802,      919,        520,       376
   94,          2425,            2338,           2247,       992,         218,        465,          4278,              90,            828,      926,        521,       376
   95,          2454,            2366,           1599,       976,         218,        423,          4371,              92,            888,      938,        532,       390
   96,          2542,            2453,           1691,      1003,         226,        477,          4465,              90,            945,      945,        529,       382
   97,          2630,            2540,           1714,      1096,         224,        399,          4560,              89,            917,      968,        544,       390
   98,          2695,            2604,           1762,      1120,         238,        439,          4656,              90,            898,      987,        554,       396
   99,          2710,            2618,           1807,      1004,         225,        373,          4753,              90,            920,      999,        559,       400
  100,          2797,            2704,           1985,      1066,         243,        415,          4851,              94,            936,     1008,        563,       430
  101,          2811,            2717,           1954,      1094,         243,        404,          4950,              96,            969,     1017,        571,       445
  102,          2870,            2775,           1979,       990,         240,        390,          5050,              97,            975,     1030,        579,       418
  103,          2904,            2808,           1947,      1196,         233,        444,          5151,              99,            995,     1051,        595,       425
  104,          2979,            2882,           2006,      1069,         243,        412,          5253,             100,           1046,     1056,        595,       443
  105,          3083,            2985,           2129,      1231,         239,        459,          5356,             100,           1424,     1066,        598,       444
  106,          3110,            3011,           2025,      1105,         250,        414,          5460,              99,           1068,     1079,        607,       461
  107,          3199,            3099,           2382,      1141,         242,        509,          5565,             101,           1403,     1100,        625,       486
  108,          3238,            3137,           2158,      1111,         259,        435,          5671,             101,           1094,     1108,        620,       517
  109,          3333,            3231,           2503,      1132,         249,        441,          5778,             103,           1114,     1122,        632,       469
  110,          3372,            3269,           2227,      1176,         255,        448,          5886,             105,           1123,     1119,        635,       451
  111,          3457,            3353,           2264,      1179,         259,        434,          5995,             107,           1160,     1141,        639,       469
  112,          3568,            3464,           2402,      1160,         255,        434,          6105,             103,           1602,     1147,        646,       471
  113,          3603,            3498,           2474,      1208,         275,        470,          6216,             108,           1196,     1171,        653,       476
  114,          3626,            3520,           2372,      1193,         264,        439,          6328,             110,           1230,     1182,        664,       473
  115,          3738,            3631,           2478,      1262,         276,        480,          6441,             108,           1233,     1200,        679,       482
  116,          3801,            3693,           2596,      1256,         278,        469,          6555,             109,           1450,     1211,        687,       490
  117,          3820,            3711,           2506,      1286,         279,        473,          6670,             111,           1290,     1218,        686,       502
  118,          3912,            3802,           2638,      1342,         287,        510,          6786,             113,           1301,     1236,        697,       495
  119,          3956,            3845,           2818,      1334,         283,        546,          6903,             116,           1313,     1250,        695,       504
  120,          4075,            3964,           2740,      1272,         277,        487,          7021,             115,           1343,     1258,        708,       502
  121,          4103,            3991,           3457,      1233,         283,        484,          7140,             114,           1370,     1275,        714,       529
  122,          4218,            4105,           2908,      1305,         294,        511,          7260,             117,           1389,     1285,        720,       514
  123,          4304,            4190,           2948,      1275,         290,        494,          7381,             117,           1421,     1299,        731,       537
  124,          4321,            4206,           2846,      1384,         296,        505,          7503,             120,           1767,     1312,        738,       533
  125,          4352,            4236,           3447,      1388,         305,        516,          7626,             120,           1450,     1320,        739,       526
  126,          4463,            4346,           2973,      1370,         303,        545,          7750,             122,           1476,     1337,        759,       539
  127,          4564,            4446,           3028,      1386,         310,        535,          7875,             122,           1502,     1354,        759,       546
  128,          4623,            4504,           3404,      1452,         302,        534,          8001,             122,           1583,     1378,        774,       556
  129,          4704,            4584,           3106,      1404,         315,        521,          8128,             122,           1576,     1377,        770,       581
  130,          4824,            4703,           3167,      1459,         313,        536,          8256,             126,           1578,     1404,        797,       898
  131,          4943,            4821,           3340,      1559,         322,        592,          8385,             127,           1609,     1415,        787,       583
